keyword,val
fired,12.601769318243754
missile,12.013325804490133
jazan,11.270203459636303
killed,10.980246665768329
injured,10.91364324195595
al,9.543946376076194
province,9.009791367956119
casualties,8.99600649980907
sources,8.750645881078347
however,8.68973149260818
attributed,8.678717850370397
najran,8.660976580006519
border,8.092520630572967
reported,8.05125588215177
least,7.323888657489003
military,7.210862507557776
yemen,7.162759191208018
forces,7.015809089609923
fire,6.995283097557399
intercepted,6.93016492623081
opened,6.909450667915253
eastern,6.780801048645598
police,6.766649993229293
targeting,6.74083552899269
civilians,6.711601253754237
civilian,6.503874212436964
unknown,6.248107995761251
asir,6.036954122522591
projectiles,5.946070948060544
people,5.572955444314754
post,5.3868321253037
number,5.056570580824989
shelled,4.91452920098531
state,4.784481396469079
detonated,4.769134696962423
guard,4.76779625816291
security,4.746018957299361
islamic,4.555941532999409
launched,4.524751751790953
officer,4.409341378980711
attacked,4.285853932557133
region,4.21791954448528
blast,4.009818286670834
city,3.545857591893766
struck,3.429135955629466
isil,3.2757200692179493
others,3.2257505014962664
near,3.1163900450524147
soldier,3.097672751310846
attacks,3.0479853105678476
qatif,2.8790327781915153
officers,2.803941365143233
patrol,2.5591139268558756
explosive,2.507117528698614
iraq,2.291446897283125
levant,2.291446897283125
