year,injuries,fatalities,region,count
2012,22,68,Sub-Saharan Africa,5
2013,113,226,Sub-Saharan Africa,13
2014,602,908,Sub-Saharan Africa,40
2015,137,218,Sub-Saharan Africa,54
2016,191,633,Sub-Saharan Africa,59
