keyword,val
people,5.973904883667698
town,4.672173671072057
village,4.668652762283388
least,4.597180267659593
soldiers,4.586467060420912
attacks,3.5138055313044045
bosso,3.49646825036903
area,3.1200016814891605
residents,2.8346073017619515
civilians,2.740404231600443
forces,2.647526019171509
fire,2.4977572049762036
coordinated,2.4789767629096664
security,2.407792047544419
detonated,2.2210420469940515
province,2.1341822949704206
including,2.0965147046574923
military,2.018260459358072
suicide,1.9684413145455584
near,1.9056128771540102
blast,1.8575941341971902
across,1.828155691032928
bomber,1.8088687606535594
reported,1.757799956918342
others,1.7528102593518735
district,1.7488753386161926
ensuing,1.7443266227340086
raids,1.7107569114114838
set,1.6952210408941601
chad,1.690902044359742
raid,1.6573504172630926
casualties,1.5891997855204165
buildings,1.5688757031125105
february,1.5362505711092473
day,1.5346557072263698
incidents,1.4371835355023752
houses,1.4113888756766833
lake,1.3881926654144685
unknown,1.3858567979783407
number,1.3858567979783407
bombers,1.3343801158794553
opened,1.3265090976689664
explosive,1.313698681648784
device,1.313698681648784
clash,1.2961840802788527
villages,1.241265087333403
night,1.241265087333403
civilian,1.182268892966539
armed,1.1473019324782925
island,1.1401256417114418
vehicle,1.0761133749875482
ngimi,0.827038703168809
march,0.827038703168809
nineteen,0.827038703168809
