keyword,val
police,13.182267615836793
threw,9.138011588198935
fire,8.920602285188176
opened,8.712168232657415
wounded,8.412920415200423
neighborhood,7.730817575095515
attacked,7.562993312602476
officers,7.459730988480678
grenade,6.385768728310632
grenades,6.177789518179061
injured,5.999707412494579
attacks,5.787178684162004
civilian,5.575272485123824
blast,5.3650026646206435
least,5.309278302395868
reported,5.238043319851139
casualties,5.238043319851139
bar,5.137531244573974
people,4.923993724622905
detonated,4.804842077359006
national,4.525878914457791
civilians,4.498868349586978
explosive,4.3721452413567405
officer,4.344029014610889
related,3.85567293896122
cibitoke,3.689605966681831
others,3.59962670928716
area,3.5411589767643052
house,3.5274170202360393
date,3.423990306226869
marie,3.3950113180005332
near,3.239590818136556
incidents,3.1844977183312855
district,3.175242787891419
vehicle,3.1712086666786696
device,3.1286298969913586
including,2.8559653748198155
targeting,2.678180070363805
musaga,2.6478937727053697
soldiers,2.628918855577772
defense,2.558392116238058
democracy,2.558392116238058
post,2.5170601613917984
patrol,2.513397516920855
ensuing,2.5132713016284027
clash,2.5132713016284027
town,2.466357464322298
bwiza,2.4260963832231135
kamenge,2.3685805036029435
individuals,2.312280388866011
across,2.2638896462634337
number,2.132548678110905
military,2.088397333892269
forces,2.0288866643530525
rural,2.0215343004404174
kanyosha,1.7412218421200505
cndd,1.5028626240804281
fdd,1.5028626240804281
council,1.279196058119029
