year,injuries,fatalities,region,count
1977,1,1,Sub-Saharan Africa,1
1979,3,4,Sub-Saharan Africa,1
1987,40,10,Sub-Saharan Africa,1
1988,0,0,Sub-Saharan Africa,2
1990,14,1,Sub-Saharan Africa,1
1991,26,8,Sub-Saharan Africa,1
1992,21,228,Sub-Saharan Africa,6
1994,15,6,Sub-Saharan Africa,2
1995,4,0,Sub-Saharan Africa,2
1997,16,11,Sub-Saharan Africa,1
2004,7,0,Sub-Saharan Africa,1
2014,15,5,Sub-Saharan Africa,1
2015,0,0,Sub-Saharan Africa,1
