year,injuries,fatalities,region,count
1989,25,13,Australasia & Oceania,24
1990,12,12,Australasia & Oceania,18
1991,0,3,Australasia & Oceania,2
1992,10,7,Australasia & Oceania,10
1994,26,17,Australasia & Oceania,3
1995,4,6,Australasia & Oceania,10
1996,11,21,Australasia & Oceania,10
1997,0,0,Australasia & Oceania,2
2002,0,0,Australasia & Oceania,1
2007,0,0,Australasia & Oceania,1
