keyword,val
blew,0.5271060354869326
unknown,0.5225604993771432
number,0.5225604993771432
reported,0.4940477796067103
caf,0.488096859108337
suicide,0.45999543243886065
police,0.4568783296808751
morocco,0.4481362371866674
internet,0.44142861970263947
killed,0.4306181273854178
detonated,0.3925085752484256
group,0.3925085752484256
claimed,0.3925085752484256
claim,0.3870853798766052
people,0.37846186824227807
attacker,0.3715453267252737
bus,0.3715453267252737
meknes,0.3715453267252737
explosives,0.34094590708881356
men,0.3317936288365806
reports,0.3317936288365806
wounded,0.3317936288365806
argument,0.3209377997387301
blocked,0.3209377997387301
bomber,0.3098418262703255
brothers,0.309000376884306
center,0.309000376884306
moroccan,0.2839230349044655
detonate,0.2839230349044655
outside,0.27902860615055103
bombers,0.2612802496885716
engaging,0.2612802496885716
firefight,0.2612802496885716
policeman,0.2441504180294147
suspected,0.2441504180294147
terrorists,0.2441504180294147
discovered,0.2441504180294147
place,0.2441504180294147
hiding,0.2441504180294147
affiliations,0.2441504180294147
any,0.2441504180294147
themselves,0.2441504180294147
slums,0.21738039410776325
abdelfettah,0.21738039410776325
rayid,0.21738039410776325
explosive,0.21738039410776325
attached,0.21738039410776325
person,0.21738039410776325
owner,0.21738039410776325
busy,0.21738039410776325
asked,0.21738039410776325
stop,0.21738039410776325
looking,0.21738039410776325
jihadist,0.21738039410776325
websites,0.21738039410776325
attempted,0.18577266336263684
board,0.18577266336263684
tourists,0.18577266336263684
city,0.18577266336263684
tafilalet,0.18577266336263684
region,0.18577266336263684
driver,0.18577266336263684
refused,0.18577266336263684
let,0.18577266336263684
instead,0.18577266336263684
shut,0.18577266336263684
door,0.18577266336263684
leaving,0.18577266336263684
bomb,0.18577266336263684
got,0.16046889986936505
sidi,0.16046889986936505
moumen,0.16046889986936505
slum,0.16046889986936505
viewing,0.16046889986936505
radical,0.16046889986936505
materials,0.16046889986936505
indicate,0.16046889986936505
attempting,0.16046889986936505
find,0.16046889986936505
instructions,0.16046889986936505
connection,0.16046889986936505
prompting,0.16046889986936505
resulted,0.16046889986936505
negligent,0.16046889986936505
accidental,0.16046889986936505
detonation,0.16046889986936505
accomplice,0.16046889986936505
fled,0.16046889986936505
caught,0.16046889986936505
hour,0.16046889986936505
later,0.16046889986936505
wearing,0.154500188442153
belts,0.154500188442153
packed,0.154500188442153
within,0.154500188442153
moments,0.154500188442153
consulate,0.154500188442153
american,0.154500188442153
language,0.154500188442153
privately,0.154500188442153
run,0.154500188442153
school,0.154500188442153
cultural,0.154500188442153
street,0.154500188442153
several,0.154500188442153
blocks,0.154500188442153
away,0.154500188442153
said,0.154500188442153
apparently,0.154500188442153
unable,0.154500188442153
breach,0.154500188442153
security,0.154500188442153
barriers,0.154500188442153
sites,0.154500188442153
apart,0.154500188442153
dead,0.154500188442153
perpetrators,0.154500188442153
casualty,0.154500188442153
bystander,0.154500188442153
slightly,0.154500188442153
