keyword,val
ethnic,8.040421068771739
police,7.957802883073421
rebels,6.4790992765802295
tetovo,6.37446482722755
injuries,6.346847430101591
reported,5.87374893570552
attacked,5.604797991770817
attack,5.5415898059982815
guerrillas,4.911258248676435
checkpoint,4.780850340701258
village,4.745189749912471
near,4.6974646723602405
macedonian,4.55261251031452
killed,4.425674693017095
claimed,4.317278941125494
army,4.215849513461007
group,4.197974996224547
responsibility,4.174225119999447
occurred,4.142988343833013
skopje,3.882624193052356
fired,3.625881431706527
liberation,3.6072700138376397
national,3.548438606787684
casualties,3.337289505145307
municipality,3.2960316710656827
injured,3.189905186195367
suspected,2.984475980824302
bomb,2.931513539730012
assailants,2.8775551189818915
damage,2.7729041421099634
unknown,2.757862915245857
perpetrators,2.398247849119262
station,2.3750969389094663
caused,2.362067449213086
explosion,2.13827436312077
post,2.119538344474358
unidentified,2.0460527849195698
kidnapped,2.035567749845221
launched,2.0281400544582153
incident,1.968616791912602
abducted,1.9535324789749469
exploded,1.9451162302839167
extremists,1.9179797809820298
mortar,1.9001602598243645
people,1.7914366836001865
members,1.7678324348424739
semsovo,1.756141577915915
damaged,1.7512499742400882
city,1.7203405635429303
stadium,1.7203405635429303
kumanovo,1.7151639518229413
around,1.6772614365685228
jegunovce,1.6377444968025154
forces,1.6141138586942398
outside,1.5761948166442266
armed,1.5560519236011696
shooting,1.5325946325674837
