keyword,val
attacked,11.040186706960444
least,8.893878313359803
attacks,8.623086038021672
village,8.167675487885493
town,7.489541221137275
suicide,7.089744078340086
injured,6.985622981005481
civilians,6.730184987541889
unknown,6.188967622706976
bomber,5.635297911598845
detonated,5.524981789060398
area,5.3486156376968985
soldiers,5.2100770836898835
casualties,4.833919695484229
kidnapped,4.675208495807463
bombers,4.595966628106389
reported,4.528011158936149
fire,4.444182478114368
residents,4.396484089298773
others,4.2115836525221475
across,4.053593419791413
near,3.740401994839476
blast,3.7030159194494328
day,3.6309314287524854
incidents,3.5923477586094696
military,3.4999962340843407
addition,3.430769483835842
assault,3.3302396831836374
forces,3.3255086605641013
january,3.194700678334216
female,3.099510073314525
fotokol,3.0953545150261945
set,3.0851185565390784
number,2.895583061706239
date,2.833584697030654
dabanga,2.789897564858437
coordinated,2.6999855029065287
whereabouts,2.6148905809436855
carried,2.5729121698610804
security,2.531812085834404
blasts,2.488278509521285
kolofata,2.4755347199918742
wounded,2.328629391632131
houses,2.2102009796320377
ensuing,2.191894744451084
clash,2.191894744451084
buildings,1.9921150393189282
victims,1.8917064049833798
district,1.8030956857751215
villages,1.6932913614277427
camp,1.6429996966097782
bombings,1.608585211960295
city,1.5466175004891487
