year,injuries,fatalities,region,count
1991,0,36,Sub-Saharan Africa,4
1992,5,6,Sub-Saharan Africa,6
1994,6,33,Sub-Saharan Africa,6
1995,1,5,Sub-Saharan Africa,2
1998,0,0,Sub-Saharan Africa,1
2007,0,31,Sub-Saharan Africa,1
2008,0,3,Sub-Saharan Africa,1
2009,0,0,Sub-Saharan Africa,1
2010,2,5,Sub-Saharan Africa,3
2011,0,4,Sub-Saharan Africa,3
2013,0,7,Sub-Saharan Africa,3
2014,18,788,Sub-Saharan Africa,67
2015,463,928,Sub-Saharan Africa,82
2016,324,245,Sub-Saharan Africa,54
