keyword,val
army,11.430333548888179
explosive,6.913197522127575
rakhine,6.788976995249059
kachin,6.258312840980035
detonated,6.04626617110536
national,6.002881943373415
however,5.884568298427108
attacks,5.840702876616064
device,5.634258804687512
area,5.570901033055172
attributed,5.437788761241727
extremists,5.432948058673466
sources,5.290861093165887
incidents,5.185869462910942
blast,4.777775147537133
rohingya,4.73918404965899
fire,4.655855203037165
date,4.643927756057575
related,4.6106042334803785
police,4.396380216723399
shan,4.214334699566157
independence,4.19075078613807
kia,4.19075078613807
attacked,3.852461742648743
tnla,3.8366291982700167
killed,3.827438729322057
set,3.7977851738316906
ta,3.690960474215366
ang,3.690960474215366
liberation,3.690960474215366
near,3.348872256284879
day,3.264241217887929
officials,3.160218549727101
houses,3.066522451020209
least,3.003142319842115
devices,2.9024359995315336
arakan,2.8436323804573203
aa,2.8436323804573203
democratic,2.8201523468286553
alliance,2.8201523468286553
ndaa,2.8201523468286553
essa,2.8201523468286553
village,2.639991558952018
targeting,2.6142309674924364
abducted,2.5902533635227307
coordinated,2.570615389735685
discovered,2.438821212407138
muslim,2.364926888527865
maungdaw,2.269261280290933
injured,2.2631260851793567
unknown,2.2610828806847088
jointly,2.2500985484493414
opened,2.190891476490055
hpakant,2.150588711715273
suspected,2.135235211075871
civilians,2.110659838185455
yangon,2.1073828431144874
outpost,2.03371524558373
military,2.010783995767512
bombings,2.0058720455153893
threw,1.9989659218917495
security,1.7746172055072211
civilian,1.7727654634468948
officers,1.7079378980378015
involvement,1.6790955068954219
ensuing,1.6445112035190905
clash,1.6445112035190905
border,1.6013867088582578
outcome,1.578003260995228
though,1.5735718680628223
carried,1.51377585105946
muse,1.5089005175988062
government,1.4357017761628612
assault,1.414675653629607
companies,1.3866666234352831
district,1.3698370825389508
abduction,1.3095389040266228
explosives,1.1692175222414372
also,1.1552323998453335
posts,1.123624664510367
namtu,1.0945770913117054
