year,injuries,fatalities,region,count
1995,19,0,Sub-Saharan Africa,2
1996,0,6,Sub-Saharan Africa,1
2007,0,0,Sub-Saharan Africa,2
2008,10,4,Sub-Saharan Africa,2
2009,8,2,Sub-Saharan Africa,1
2010,20,17,Sub-Saharan Africa,1
2011,5,17,Sub-Saharan Africa,1
