year,injuries,fatalities,region,count
2001,0,0,Sub-Saharan Africa,1
2003,0,1,Sub-Saharan Africa,1
2005,15,3,Sub-Saharan Africa,4
2006,12,11,Sub-Saharan Africa,1
2009,0,1,Sub-Saharan Africa,1
2012,0,1,Sub-Saharan Africa,1
