keyword,val
fire,9.411982485944
reported,8.721688484495658
casualties,8.579047548068266
sofala,8.15420253841077
opened,8.097532969157763
injured,7.675100590745692
attacked,7.510180070238793
killed,7.377544939174361
manica,5.941754582049311
people,4.9812529979847024
nampula,4.75619899418144
zambezia,4.329738919131366
set,4.317103441346066
attacks,3.953937116081688
train,3.9505011971891077
assault,3.9403922042368165
convoy,3.8970107669067455
province,3.7378686210239254
district,3.6723298810305716
person,3.6365389124310523
member,3.5278245677642377
least,3.522379148720108
village,3.3953749236005417
frelimo,3.098036356294223
vehicle,3.0846112017914535
police,2.845339500064905
vehicles,2.826605888082314
bus,2.8077160808439485
date,2.764974220262454
truck,2.7287976617492005
nihessiue,2.626402023307915
related,2.6199143576395265
liberation,2.591633297815509
front,2.591633297815509
muxungue,2.5588023393091115
cheringoma,2.5210609506232053
barue,2.509743811149812
niassa,2.4415495024613687
abducted,2.3822431457904614
carried,2.2227158378614913
day,2.2087163804744496
residence,2.171411355783837
inhamitanga,2.121162520669471
wounded,2.001194987602757
post,1.997143937293308
provincial,1.9900173268979882
gorongosa,1.9560966361867131
ambushed,1.9362589978714038
assembly,1.9304798520127773
party,1.8502737311877082
headquarters,1.7850070969930187
head,1.6789893790801298
republic,1.6450996245680631
