keyword,val
dublin,4.801882816636578
explosive,4.224936775399376
town,3.9740213484972933
safely,3.745148718520678
area,3.3162465053305157
city,3.061745760720037
attack,2.9931668111689635
civilian,2.823098215470994
bomb,2.8016157736940235
neighborhood,2.7526286292143456
pipe,2.7257112243922403
outside,2.6170375274825246
assailants,2.4305395683775894
casualties,2.262649909205147
near,2.1927432478252795
private,1.7964446918850336
threw,1.7376974795953195
reported,1.7162157724327562
donegal,1.4693806006898806
tallaght,1.4271048694724955
province,1.4266264571393363
limerick,1.4176033105685926
leitrim,1.3389188237496135
vehicle,1.3331742639144224
drogheda,1.320891444128741
louth,1.320891444128741
fire,1.3183303990413446
however,1.2449256448583792
incendiary,1.1789449483739154
park,1.1322710018929552
petrol,1.1316734092966307
house,1.1285444457022242
bombs,1.1178789139380019
incidents,1.1089187734599144
set,1.0692717807488947
car,1.0468171785486762
cavan,1.0287639732115648
damaged,0.9875564020763088
donnell,0.8722138404144903
kennedy,0.8618083253387767
district,0.8590131238986838
reports,0.8544918119453611
planted,0.8093383465328028
security,0.7965964975508424
forces,0.7965964975508424
cork,0.7945334561914726
sources,0.7682320614775089
army,0.7594010406267172
found,0.7557836673419811
houses,0.7506563001795863
day,0.7378033795284944
munster,0.7134155467035027
john,0.4361069202072452
independent,0.4361069202072452
councilor,0.4361069202072452
well,0.4361069202072452
known,0.4361069202072452
businessman,0.4361069202072452
village,0.4361069202072452
related,0.4361069202072452
connected,0.4361069202072452
targeting,0.43090416266938836
homes,0.43090416266938836
attacks,0.43090416266938836
