year,injuries,fatalities,region,count
1982,0,0,South America,1
1983,2,0,South America,1
1984,0,0,South America,1
1986,3,2,South America,8
1987,7,6,South America,13
1988,4,6,South America,9
1989,6,14,South America,17
1990,0,0,South America,7
1991,0,1,South America,1
1992,0,0,South America,5
1994,0,0,South America,1
1997,2,0,South America,2
