SRB,Republic of Serbia,Eastern_Europe
SSD,South Sudan,Sub-Saharan_Africa
SUR,Suriname,South_America
SVK,Slovakia,Eastern_Europe
SVN,Slovenia,Eastern_Europe
SWE,Sweden,Western_Europe
SWZ,Swaziland,Sub-Saharan_Africa
SYR,Syria,Middle_East_North_Africa
TCD,Chad,Sub-Saharan_Africa
TGO,Togo,Sub-Saharan_Africa
THA,Thailand,Southeast_Asia
TJK,Tajikistan,Central_Asia
TKM,Turkmenistan,Central_Asia
TLS,East Timor,Southeast_Asia
TTO,Trinidad and Tobago,Central_America_Caribbean
TUN,Tunisia,Middle_East_North_Africa
TUR,Turkey,Middle_East_North_Africa
TWN,Taiwan,East_Asia
TZA,United Republic of Tanzania,Sub-Saharan_Africa
UGA,Uganda,Sub-Saharan_Africa
UKR,Ukraine,Eastern_Europe
URY,Uruguay,South_America
USA,United States of America,North_America
UZB,Uzbekistan,Central_Asia
VEN,Venezuela,South_America
VNM,Vietnam,Southeast_Asia
VUT,Vanuatu,Australasia_Oceania
XXX,Northern Cyprus,Middle_East_North_Africa
YEM,Yemen,Middle_East_North_Africa
YYY,Somaliland,Middle_East_North_Africa
ZAF,South Africa,Sub-Saharan_Africa
ZMB,Zambia,Sub-Saharan_Africa
ZWE,Zimbabwe ,Sub-Saharan_Africa
-99,Unknown,Sub-Saharan_Africa
