keyword,val
assailants,235.0504047555169
attack,223.47488010593096
device,199.83100123957018
balochistan,197.03897469276302
city,193.18569710474162
khyber,189.62353377037834
explosive,189.31253136265113
pakhtunkhwa,186.05938279400118
killed,185.31047157620077
injured,182.54818409526973
area,178.9999113924879
detonated,170.38185251293123
district,156.08419069095362
sindh,150.9665289341161
police,148.1688064385741
fire,147.50032197026576
blast,144.79644988780444
near,128.64123154719374
opened,128.49323059636419
people,128.01059636105796
town,124.46486786967498
karachi,122.64848645705288
reported,119.15559558509332
defused,111.61233660881683
casualties,108.84912453096568
least,102.58493536250816
however,99.53676082934123
tribal,99.05063535923944
damaged,95.52060152679363
vehicle,92.62004820814526
discovered,92.41859083309056
areas,89.27811339382146
federally,87.92603361410713
administered,87.92603361410713
attacked,81.531753964625
gunmen,78.7170887198144
peshawar,75.26288760914076
khan,69.15503578646644
attacks,67.98658422924524
quetta,65.90995309661173
security,64.3610380434323
threw,64.15269789874269
day,64.10521030227292
explosion,63.08450354774047
village,62.78958955060179
bomb,60.52861408753996
grenade,59.80756885220242
party,59.07002078932385
school,59.043774960728754
officers,56.52409342506544
wounded,54.26031282755169
person,52.478290590514575
taliban,52.107530951823996
ttp,51.56808631330253
fired,51.532643276941485
tehsil,50.920064951255696
others,50.612544488482925
agency,50.211152495994114
tehrik,49.79921570150505
outside,47.59413736297836
national,46.95524987607055
incidents,42.741734241559065
