year,injuries,fatalities,region,count
1982,0,1,Middle East & North Africa,1
1989,0,3,Middle East & North Africa,1
1996,0,0,Middle East & North Africa,1
2000,0,0,Middle East & North Africa,1
2001,0,1,Middle East & North Africa,1
2005,12,2,Middle East & North Africa,1
2015,1,0,Middle East & North Africa,1
