keyword,val
device,59.99083903248953
police,56.52166102633171
detonated,55.50341400370257
assailants,54.96313922759984
north,54.270591202964916
blast,46.303147969251526
killed,43.656834890252924
injured,40.731892401702574
al,40.044782705796905
casualties,38.67255324767069
reported,38.205244041571106
near,36.55113110974283
arish,36.10296448474782
cairo,34.987192372728934
security,34.280279863580084
province,33.79769800383882
islamic,33.53227696337966
state,33.31178294553632
defused,33.0188347990064
fire,32.14743598502733
faiyum,30.173075851730918
opened,30.081756781586556
sheikh,28.912338163552914
discovered,28.791418530677976
zuweid,26.930556935503397
devices,26.628065592780107
least,26.343296943241725
wounded,26.174000440872106
forces,25.65278425577778
officer,24.97640827895134
vehicle,24.476370508396393
alexandria,24.191949216544614
rafah,23.984423924567892
attacks,23.727974457179712
giza,23.068001262271522
however,22.147285172132186
officers,21.953177576117813
targeting,20.82352779932814
area,20.345808211968873
egyptian,19.41013014305429
checkpoint,19.380305701702483
station,19.15690156050672
sources,18.898375810766044
people,18.359007930054002
military,18.262509608140505
town,18.030627677868615
neighborhood,17.693168126224222
soldiers,17.010141091401437
attributed,16.5789161281537
others,16.243692613243777
day,16.090147361091258
civilian,15.249024525023335
incidents,14.882666831042641
date,14.759307092664356
damaged,14.600676189251281
related,14.594273106579017
village,13.581729591622373
safely,13.424016985897419
attacked,12.9673294555263
muslim,11.573217926172443
explosives,11.481405464237938
stated,10.26097645925396
laden,10.260582565544711
across,9.058736693438473
