keyword,val
gao,9.18316943546496
attacked,9.176658575572622
however,8.856310682291685
timbuktu,8.678968206552995
sources,8.678579002191917
attributed,8.191690138724121
civilians,7.618510812865418
town,7.482968194895692
kidal,7.374405846692854
soldiers,7.217734263561728
united,6.960790318628717
minusma,6.887170397967523
injured,6.873523197268188
nations,6.865180358561654
fire,6.7792390267507585
least,6.731982055388837
mission,6.688257247415235
multidimensional,6.657668431082043
integrated,6.657668431082043
stabilization,6.657668431082043
al,6.5530911869697
casualties,6.517533151041187
movement,6.1695704947367656
azawad,6.1401532323239305
liberation,6.027932223913426
village,6.024850605111592
opened,5.991935537433633
near,5.726252559139056
people,5.521549868514555
wounded,5.462921897093566
reported,5.4143947662258265
detonated,5.345532650822554
vehicle,5.293940123643047
city,5.245731966355976
mopti,4.850767069849118
attacks,4.727880692294306
blast,4.634459307615341
front,4.38224428161816
explosive,4.31213531725264
device,4.31213531725264
macina,4.263779173606638
flm,4.223951910168944
peacekeepers,4.199835122718539
malian,4.175158818469178
civilian,4.102267464882426
area,4.0910280205644245
national,4.085684743298232
unknown,4.015845800706164
mnla,3.965823223488793
muslim,3.949243599322139
fundamentalists,3.949243599322139
ansar,3.535252295454287
dine,3.535252295454287
west,3.4741472640112203
base,3.381849745774148
oneness,3.2248109451280556
jihad,3.2248109451280556
africa,3.2248109451280556
mujao,3.2248109451280556
military,3.158905295950392
including,3.1058469946450113
police,3.090152955941053
convoy,3.0269049890816238
coordination,2.967465559069966
movements,2.967465559069966
qaida,2.8762149793627088
islamic,2.8762149793627088
maghreb,2.8762149793627088
aqim,2.8762149793627088
bamako,2.7297502117587222
cma,2.643683808506943
soldier,2.6015175504235017
person,2.576333745575763
carried,2.5405583283540034
incidents,2.520444854755403
kidnapped,2.444663634572916
army,2.3926453851043985
fired,2.3861508591199887
goundam,2.2636303782203036
district,2.2318323478850783
victims,2.1963473448440176
suspected,2.180608087467998
whereabouts,2.177467386824442
related,2.130623880584703
struck,2.1085856083655767
others,2.058677450016672
tuaregs,2.050584212723675
forces,2.04655261243291
day,1.9867456452447934
targeting,1.9721975334316968
camp,1.925397229396465
also,1.8852951332527823
peacekeeper,1.682737468357245
mua,1.417729904634473
qi,1.417729904634473
oon,1.417729904634473
biddam,1.417729904634473
brigade,1.417729904634473
those,1.417729904634473
sign,1.417729904634473
blood,1.417729904634473
groups,1.2821016975942248
reportedly,1.2821016975942248
merged,1.2821016975942248
mourabitoun,1.2821016975942248
