year,injuries,fatalities,region,count
1978,0,5,South America,1
1979,0,1,South America,2
1980,1,1,South America,1
1981,0,1,South America,1
1990,3,0,South America,5
1992,1,0,South America,4
1997,0,0,South America,1
1998,1,0,South America,2
2001,0,0,South America,1
2002,6,4,South America,1
2003,0,0,South America,1
2006,0,6,South America,2
2008,12,23,South America,3
2016,0,0,South America,1
