keyword,val
luhansk,110.11835530442843
city,109.92760409380139
republic,96.19735941893785
casualties,95.39563977709001
reported,89.87266107670334
attributed,88.68272369259435
sources,84.03882074017022
near,82.7823802479549
attacks,72.47013722867206
town,68.01966661240246
killed,66.93220450733332
soldiers,65.61372471781392
fire,64.56162717787305
wounded,63.10551621895969
opened,59.118476319277946
military,58.43950190286687
attacked,57.471077885196436
ukrainian,50.56450958461937
forces,47.20790952670998
fired,45.65873271356888
armed,42.32910771319163
detonated,41.697990094430104
unknown,41.16979556055208
least,39.44554123208748
abducted,39.37547741265209
village,38.313630702392125
checkpoint,37.09784014001714
others,34.0565813491532
airport,33.75749760920526
released,33.40414256068253
injured,32.82208187087795
launched,32.77901831291841
area,30.909071367053734
damaged,30.067821772103045
blast,29.38825743035153
day,28.485753554250326
across,27.814594368034673
rockets,26.749953531644547
explosive,26.003508957538678
positions,25.946241444065244
mortars,24.971206008970974
shelled,24.28202797260338
landed,23.782830461433324
device,23.084675222331306
mortar,22.987343871857647
shells,22.088599861916936
guard,21.70855689285093
civilians,21.371743091441495
july,21.29267873649054
authorities,20.384066856142862
army,20.212184986154913
projectiles,20.00337035842797
soldier,19.77634915266355
similar,19.437858755128495
position,19.195726861292897
