keyword,val
gam,11.899690438946434
attack,11.110723633001971
members,7.7600738519731625
police,7.51976661858091
group,7.334675543013605
incident,7.042536341099475
bomb,6.727463236170862
responsibility,6.517879709403154
suspected,6.437173627628902
claimed,6.408306357804781
grenade,6.071083631825511
killed,5.944220085393654
injured,5.832258708268792
injuries,5.7281058385636
people,5.590711294035241
reported,5.348309212845965
banda,5.241782397111037
regency,5.194931548127782
east,4.768875907249245
shot,4.6867787831915155
wounded,4.646161885642925
exploded,4.565843622738852
found,4.431587684397224
lhokseumawe,4.374084445780789
school,4.371537714647303
bombing,4.267421951941835
perpetrators,4.239243754948515
attacked,4.21612749305028
unidentified,4.100081609701567
bombs,4.085977170947773
connection,3.7566643142464695
home,3.6828374406832203
casualties,3.649684754355331
bodies,3.4609499973961153
village,3.3989000609743263
also,3.3956014054684736
thrown,3.2230377173554308
indonesian,3.167592084083073
outside,3.12278930891682
men,3.03369605429217
area,3.03083651260309
motorcycle,2.9745340019368136
august,2.969860591908064
another,2.8500885771497573
near,2.8334448570488053
jakarta,2.8248626871222147
oil,2.7890440222872055
maluku,2.761211700978323
district,2.7212268767058037
occurred,2.7011846642662647
fire,2.688042600195894
damaged,2.667059810034905
central,2.6541003742008873
torched,2.6432673422107453
damage,2.5697473796942223
identified,2.5398258793634527
detonated,2.5355023483497856
campaign,2.520048735477083
part,2.419296859976284
dead,2.4066137226465747
seriously,2.391427179936362
nearby,2.3581285256180973
assailants,2.278796108791819
denied,2.27769750339446
related,2.2674289581400107
authorities,2.1994066412050244
homemade,2.129315023836784
day,2.0735826377273163
city,2.0515671170235006
unknown,1.9560374835144088
state,1.9371442971310497
targeted,1.8525787458373228
person,1.8522953844318424
muslim,1.8345627128296205
throughout,1.8143809397480104
government,1.5002534068651112
least,1.465426839283971
military,1.4134662377268785
christian,1.3850397786992734
villagers,1.3136727697756716
sulawesi,1.2064442529417025
hundreds,1.099002967162047
thousands,1.099002967162047
fled,1.099002967162047
laskar,0.9172813564148102
jihad,0.9172813564148102
entire,0.9172813564148102
burnt,0.9172813564148102
ground,0.9172813564148102
villages,0.9172813564148102
destroying,0.9172813564148102
them,0.9172813564148102
december,0.9172813564148102
stated,0.9172813564148102
considering,0.9172813564148102
calling,0.9172813564148102
emergency,0.9172813564148102
continued,0.9172813564148102
clashes,0.9172813564148102
personnel,0.9172813564148102
