keyword,val
bangui,15.020675406863393
people,10.453463291140466
attacked,9.507780811849472
least,9.2817792932367
city,9.209077363199826
town,8.455075772210751
seleka,7.831592283805961
civilians,7.328910657699549
balaka,7.291848000204607
anti,7.165566437485554
fire,6.985001918882503
militia,6.50125418831921
injured,5.746949679081842
opened,5.702039278580371
ouham,5.422763336184323
wounded,5.3034583117022684
unknown,4.805152006450931
muslim,4.637820749590266
abducted,4.442913376349176
village,4.329715426423554
assault,4.1329039438860296
mission,3.939969154492477
ouaka,3.9079563212662265
international,3.7729057808321502
others,3.641774698192216
including,3.5588175995388154
grenade,3.4573235894953434
district,3.4496309366822206
pende,3.367485404283635
threw,3.2325618023084264
french,3.1906360252289794
members,3.038445879136215
mambere,3.0009963597766913
soldiers,2.9547409191004443
mbomou,2.9483745907051007
attacks,2.934598707151437
lord,2.894536009078562
resistance,2.894536009078562
army,2.894536009078562
lra,2.894536009078562
peacekeepers,2.865318563356599
misca,2.8144483972979915
blast,2.792146112469351
fulani,2.6956084121103316
haut,2.6601798764911595
nana,2.610776188676871
militants,2.6081728064112837
bambari,2.5250105826778735
support,2.4265651163261373
autonomous,2.387924774859691
commune,2.387924774859691
sometime,2.354691891105511
reported,2.272319539705669
set,2.2245088777467297
day,2.1495376563967032
casualties,2.1405988130507163
released,2.107290661186338
convoy,2.0663495832603838
involvement,2.0242230772518193
near,2.0009145832725013
number,1.9972076456863257
obo,1.877888361485948
united,1.8383725029388176
nations,1.8383725029388176
area,1.754059906722495
led,1.7436600737067167
peacekeeper,1.7200624074345403
incidents,1.6805990744767914
suspected,1.6721894108195952
residents,1.5655402751153122
