keyword,val
refugee,5.974632374692941
center,4.225825910826062
shelter,4.197212444625026
gothenburg,3.445741122160433
js,3.445741122160433
vastra,3.2839614643799013
gotaland,3.2839614643799013
skane,3.1534933849049733
assailant,2.950929110198174
planned,2.8411593681219802
used,2.660365181619822
housing,2.451393083210356
town,2.410649291893305
threw,2.3310976226084605
school,2.2985403047908917
building,2.225892175531696
party,1.920108397380701
attacks,1.920108397380701
day,1.920108397380701
refugees,1.8517651282178416
socialist,1.7228705610802164
justice,1.7228705610802164
targets,1.7228705610802164
asylum,1.5925001551394433
residence,1.539244992322336
stockholm,1.503943595323424
member,1.3482551237313944
city,1.3093808140406504
people,1.302950096470983
house,1.2697636999296094
damaged,1.226816762196465
munkedal,1.0850937203024373
orebro,1.062379306482092
injured,1.0166801550644098
attempted,0.9767254769004525
explosive,0.938361088306148
device,0.938361088306148
attacked,0.7979001520752887
regional,0.531189653241046
headquarters,0.531189653241046
related,0.531189653241046
incidents,0.531189653241046
