year,injuries,fatalities,region,count
1987,1,0,Australasia & Oceania,3
1989,0,0,Australasia & Oceania,2
1991,0,0,Australasia & Oceania,3
1992,0,1,Australasia & Oceania,1
1999,0,0,Australasia & Oceania,3
2000,17,7,Australasia & Oceania,4
2001,0,0,Australasia & Oceania,1
