keyword,val
benghazi,158.31677115008284
tripoli,105.91497742927325
al,97.6089038117615
killed,66.97305028890291
fire,59.35584730614453
opened,56.15175405443059
casualties,54.10603169285913
however,49.34375933799288
reported,47.508270936830904
derna,39.61929604359243
detonated,37.67566896538625
sources,37.099781010534265
attributed,35.88096824033519
blast,34.54278067550984
unknown,32.8659356478412
abducted,32.68193394156092
injured,31.12282918235505
area,30.74766864719124
device,30.426645294998405
explosive,30.319080781199915
wounded,29.91758571073476
attacked,29.637601108002023
near,28.084714460950398
vehicle,27.04755354838558
neighborhood,26.879886492162225
libyan,26.630545023746315
damaged,25.00649053998256
rocket,24.788466027561253
launched,24.361378727177062
released,24.290400669185544
attacks,23.68519709932513
people,22.610701506051548
officer,22.27766483108489
explosives,21.896265991663533
fired,21.48189515876424
security,20.66246690091971
day,20.554807593740385
laden,20.199178633529662
member,19.97110277766813
least,19.59718529512417
militia,19.376728483717848
forces,19.2155597778358
police,18.852979154395044
military,18.271949902152922
town,18.021285858705774
gunmen,17.933476102087283
colonel,17.92205782085465
ansar,17.39109590624487
sharia,17.39109590624487
muslim,16.834811774600546
force,16.06620120456792
fundamentalists,15.989634541573658
rockets,15.854292139258815
brigade,15.718298316145766
